"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2025","1,695.63","1,669.33","1,697.14","1,664.85","646.73M","1.58%"
"07/25/2025","1,669.33","1,661.23","1,675.26","1,655.36","427.37M","0.49%"
"07/24/2025","1,661.23","1,653.01","1,663.39","1,637.98","535.69M","0.50%"
"07/23/2025","1,653.01","1,655.98","1,669.14","1,650.04","491.74M","-0.18%"
"07/22/2025","1,655.98","1,628.06","1,655.98","1,616.16","409.86M","1.71%"
"07/21/2025","1,628.06","1,643.91","1,663.16","1,621.19","488.74M","-0.96%"
"07/18/2025","1,643.91","1,634.70","1,648.18","1,625.83","459.98M","0.56%"
"07/17/2025","1,634.70","1,614.42","1,641.97","1,614.42","425.58M","1.26%"
"07/16/2025","1,614.42","1,593.84","1,614.63","1,587.92","347.23M","1.29%"
"07/15/2025","1,593.84","1,605.66","1,614.13","1,593.45","442.34M","-0.74%"
"07/14/2025","1,605.66","1,594.01","1,616.99","1,580.80","393.37M","0.73%"
"07/11/2025","1,594.01","1,569.34","1,601.03","1,567.30","455.69M","1.57%"
"07/10/2025","1,569.34","1,543.27","1,569.40","1,543.27","433.76M","1.69%"
"07/09/2025","1,543.27","1,529.27","1,544.67","1,526.77","594.93M","0.92%"
"07/08/2025","1,529.27","1,508.66","1,529.72","1,508.66","435.18M","1.37%"
"07/07/2025","1,508.66","1,488.77","1,509.81","1,488.77","568.94M","1.34%"
"07/04/2025","1,488.77","1,481.20","1,489.54","1,477.29","248.57M","0.51%"
"07/03/2025","1,481.20","1,482.76","1,493.99","1,477.37","423.63M","-0.11%"
"07/02/2025","1,482.76","1,476.16","1,483.02","1,468.49","246.30M","0.45%"
"07/01/2025","1,476.16","1,477.56","1,483.86","1,466.97","255.66M","-0.09%"
"06/30/2025","1,477.56","1,475.89","1,481.58","1,472.16","212.32M","0.11%"
"06/27/2025","1,475.89","1,463.57","1,477.89","1,459.93","281.20M","0.84%"
"06/26/2025","1,463.57","1,465.36","1,475.07","1,458.98","229.00M","-0.12%"
"06/25/2025","1,465.36","1,462.80","1,470.76","1,460.42","293.89M","0.18%"
"06/24/2025","1,462.80","1,448.32","1,469.01","1,448.32","327.79M","1.00%"
"06/23/2025","1,448.32","1,435.19","1,448.54","1,418.81","241.05M","0.91%"
"06/20/2025","1,435.19","1,439.30","1,443.79","1,423.77","339.88M","-0.29%"
"06/19/2025","1,439.30","1,432.99","1,442.46","1,426.41","252.57M","0.44%"
"06/18/2025","1,432.99","1,431.39","1,439.70","1,425.74","275.32M","0.11%"
"06/17/2025","1,431.39","1,420.35","1,440.59","1,420.14","268.92M","0.78%"
"06/16/2025","1,420.35","1,401.20","1,421.27","1,382.20","310.35M","1.37%"
"06/13/2025","1,401.20","1,412.16","1,419.67","1,385.02","398.36M","-0.78%"
"06/12/2025","1,412.16","1,405.15","1,418.41","1,392.50","356.73M","0.50%"
"06/11/2025","1,405.15","1,404.82","1,411.95","1,390.90","167.50M","0.02%"
"06/10/2025","1,404.82","1,396.56","1,414.89","1,381.43","246.26M","0.59%"
"06/09/2025","1,396.56","1,418.97","1,418.97","1,394.12","221.09M","-1.58%"
"06/06/2025","1,418.97","1,432.38","1,437.24","1,412.69","280.48M","-0.94%"
"06/05/2025","1,432.38","1,435.28","1,437.28","1,423.41","208.36M","-0.20%"
"06/04/2025","1,435.28","1,437.87","1,442.87","1,429.48","268.87M","-0.18%"
"06/03/2025","1,437.87","1,423.04","1,442.55","1,423.04","344.39M","1.04%"
"06/02/2025","1,423.04","1,423.68","1,424.75","1,407.73","256.37M","-0.04%"
"05/30/2025","1,423.68","1,431.57","1,436.22","1,417.98","324.40M","-0.55%"
"05/29/2025","1,431.57","1,432.19","1,438.03","1,424.02","291.80M","-0.04%"
"05/28/2025","1,432.19","1,427.45","1,436.99","1,427.02","263.00M","0.33%"
"05/27/2025","1,427.45","1,423.85","1,430.82","1,418.76","349.86M","0.25%"
"05/26/2025","1,423.85","1,409.40","1,424.01","1,374.60","332.34M","1.03%"
"05/23/2025","1,409.40","1,409.56","1,415.97","1,400.83","222.89M","-0.01%"
"05/22/2025","1,409.56","1,419.36","1,432.84","1,407.92","366.30M","-0.69%"
"05/21/2025","1,419.36","1,407.52","1,429.43","1,407.52","410.89M","0.84%"
"05/20/2025","1,407.52","1,379.75","1,408.56","1,379.75","368.20M","2.01%"
"05/19/2025","1,379.75","1,384.44","1,391.24","1,371.05","341.01M","-0.34%"
"05/16/2025","1,384.44","1,401.49","1,404.13","1,382.93","303.99M","-1.22%"
"05/15/2025","1,401.49","1,397.87","1,403.70","1,384.67","564.16M","0.26%"
"05/14/2025","1,397.87","1,382.78","1,400.10","1,375.35","431.69M","1.09%"
"05/13/2025","1,382.78","1,372.04","1,384.01","1,370.29","370.01M","0.78%"
"05/12/2025","1,372.04","1,352.25","1,374.68","1,352.03","449.41M","1.46%"
"05/09/2025","1,352.25","1,351.10","1,363.62","1,348.13","269.93M","0.09%"
"05/08/2025","1,351.10","1,324.80","1,354.08","1,324.80","324.45M","1.99%"
"05/07/2025","1,324.80","1,319.66","1,325.94","1,316.27","241.65M","0.39%"
"05/06/2025","1,319.66","1,320.41","1,331.08","1,316.18","275.53M","-0.06%"
"05/05/2025","1,320.41","1,309.73","1,321.68","1,309.43","206.96M","0.82%"
"04/29/2025","1,309.73","1,310.40","1,312.88","1,304.74","221.96M","-0.20%"
"04/28/2025","1,312.32","1,318.09","1,321.38","1,305.51","218.43M","-0.37%"
"04/25/2025","1,317.18","1,312.59","1,318.66","1,304.50","384.63M","0.42%"
"04/24/2025","1,311.66","1,306.43","1,313.93","1,297.21","291.87M","0.66%"
"04/23/2025","1,303.04","1,300.25","1,311.72","1,295.69","347.06M","0.98%"
"04/22/2025","1,290.38","1,287.55","1,292.67","1,216.35","641.37M","-0.30%"
"04/21/2025","1,294.29","1,305.81","1,310.59","1,287.02","327.06M","-0.91%"
"04/18/2025","1,306.24","1,313.42","1,322.26","1,306.24","409.58M","0.25%"
"04/17/2025","1,303.03","1,286.11","1,304.47","1,283.47","278.74M","0.76%"
"04/16/2025","1,293.25","1,310.07","1,318.86","1,288.06","286.71M","-1.34%"
"04/15/2025","1,310.76","1,314.30","1,329.99","1,303.29","384.97M","-1.14%"
"04/14/2025","1,325.87","1,318.17","1,329.06","1,310.63","393.92M","1.22%"
"04/11/2025","1,309.94","1,268.12","1,310.02","1,265.26","742.99M","4.85%"
"04/10/2025","1,249.29","1,248.92","1,249.29","1,248.10","55.37M","6.90%"
"04/09/2025","1,168.68","1,182.91","1,220.73","1,133.90","667.41M","-2.41%"
"04/08/2025","1,197.51","1,241.58","1,245.51","1,193.47","557.83M","-6.48%"
"04/04/2025","1,280.52","1,269.06","1,280.52","1,208.42","867.53M","-0.21%"
"04/03/2025","1,283.18","1,342.46","1,342.46","1,282.99","810.57M","-6.81%"
"04/02/2025","1,376.94","1,381.03","1,384.38","1,376.54","236.67M","0.00%"
"04/01/2025","1,376.91","1,369.18","1,376.91","1,363.60","212.16M","0.96%"
